max_bitrate,regulator_max_bitrate,fec,redundancy,chunk_duration,chunk_max_packets,repair,write_method,max_payload,rcvbuf_size,tx_bytes,tx_packets,OutDatagrams,SndbufErrors,rx_bytes,rx_packets,InDatagrams,InErrors,NoPorts,RcvbufErrors,InCsumErrors,IgnoredMulti,MemErrors,details_uuid,success,returncode,duration
500000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,0102eee5568d,1,0,7.5477
500000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,42344cc5f8ed,1,0,3.0887
500000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,b3d3b1c3c07a,1,0,2.5167
750000000,0,,,,,,helper,1472,,128566668,84920,84919,0,128566598,84919,84919,0,0,0,0,0,0,101236d24cee,1,0,6.3783
750000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,0c6c053261f9,1,0,2.4427
750000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,6fe2aef3f913,1,0,1.8063
1000000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,83d8f9dc6ed2,1,0,5.4139
1000000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,4fa33fb9971c,1,0,2.0715
1000000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,fc6ff7e8ddc5,1,0,1.468
0,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84619,300,0,300,0,0,0,5c47462968ee,0,0,1.4825
0,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,dbd47a1d6704,1,0,1.402
0,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,56e1e2e50e0f,1,0,1.377
500000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,c0d4023f164d,1,0,7.2573
500000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,c90b3e90e15d,1,0,3.0745
500000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,c45336694fc3,1,0,2.5137
750000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,9dc67dd6efb4,1,0,6.3878
750000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,f90847a35f00,1,0,2.4423
750000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,2bc0bda19112,1,0,1.8039
1000000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,2e2c7bc51275,1,0,5.4635
1000000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,3d2b6c3d5c78,1,0,2.1104
1000000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,e5b31cf9357d,1,0,1.4682
0,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84892,27,0,27,0,0,0,577262cd73a2,0,0,1.4781
0,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,4b938cd087bd,1,0,1.3987
0,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,5056762e0ba7,1,0,1.3772
500000000,0,,,,,,helper,1472,,128566668,84920,84919,0,128566598,84919,84919,0,0,0,0,0,0,8341195f3c21,1,0,7.449
500000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,ea0001231bb8,1,0,3.0807
500000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,8e5ca5a840ff,1,0,2.5158
750000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,5177ec6c1dda,1,0,6.3865
750000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,39c5be01a039,1,0,2.4456
750000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,f8d5dfae7887,1,0,1.8059
1000000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,579bc25e29a0,1,0,5.3857
1000000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,c2e053fa6838,1,0,2.0605
1000000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,00c558825e82,1,0,1.4743
0,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84834,85,0,85,0,0,0,05637ffb96a7,0,0,1.4877
0,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,5951a1242e48,1,0,1.3993
0,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,06c057cc3250,1,0,1.3816
500000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,85c6cf5cdbf2,1,0,7.4545
500000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,67c7a49db409,1,0,3.0849
500000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,af34103a408c,1,0,2.5172
750000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,a1b824b63cd0,1,0,6.3616
750000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,a413a1b51929,1,0,2.4407
750000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,ae8ed90fd763,1,0,1.8078
1000000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,f63e931f86ad,1,0,5.5081
1000000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,fc48c712aff2,1,0,2.0577
1000000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,f6ccc799b01d,1,0,1.4692
0,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84736,183,0,183,0,0,0,a64fa5b15725,0,0,1.4943
0,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,9cf4c3764816,1,0,1.3958
0,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,0067cc2d5b6a,1,0,1.3799
500000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,a3bebeee796d,1,0,7.4696
500000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,8cffd3250b88,1,0,3.0873
500000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,8a44a0231eeb,1,0,2.5166
750000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,d60fa677ce16,1,0,6.3578
750000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,c2d6132d6d9a,1,0,2.4408
750000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,f185a0889d61,1,0,1.8059
1000000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,10c5bd65f68a,1,0,5.4401
1000000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,b5efed05be99,1,0,2.0587
1000000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,17dbb8a41cc5,1,0,1.4707
0,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84852,67,0,67,0,0,0,426a62146437,0,0,1.4857
0,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,c932e1499d5d,1,0,1.402
0,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,ab04d75072e7,1,0,1.3756
